item_id|title|category|start_time|end_time|seller_user_id|final_price|winner_id
AUC00025|Monopoly Classic Edition|Toys & Games|2025-02-01T00:00:00Z|2025-02-04T00:00:00Z|leblancchristine|267.58|jallen
AUC00026|Nintendo Switch (Used)|Toys & Games|2025-05-31T00:00:00Z|2025-06-03T00:00:00Z|melissa83|98.92|josephbush
AUC00027|Apple Watch Series 8|Electronics|2025-06-18T00:00:00Z|2025-06-21T00:00:00Z|riverajacob|228.23|joshua38
AUC00028|IKEA LINNMON Desk (2022 Model)|Home & Garden|2025-03-31T00:00:00Z|2025-04-03T00:00:00Z|donaldpoole|43.02|kevingarcia
AUC00029|Sapiens: A Brief History of Humankind|Books|2025-08-07T00:00:00Z|2025-08-08T00:00:00Z|sarah44|122.6|crystal19
AUC00030|Nike Air Force 1 (Used)|Fashion|2025-05-01T00:00:00Z|2025-05-02T00:00:00Z|kylecoleman|155.18|joselewis
AUC00031|Apple iPhone 13 Pro (Like New)|Electronics|2025-08-10T00:00:00Z|2025-08-11T00:00:00Z|donald79|150.75|efisher
AUC00032|The Lean Startup (Used)|Books|2025-07-04T00:00:00Z|2025-07-07T00:00:00Z|franciscoschmidt|262.72|cynthiagregory
AUC00033|IKEA LINNMON Desk (2022 Model)|Home & Garden|2025-08-09T00:00:00Z|2025-08-12T00:00:00Z|pwhitney|160.03|ltaylor
AUC00034|LEGO Star Wars Millennium Falcon (Like New)|Toys & Games|2025-07-01T00:00:00Z|2025-07-04T00:00:00Z|smithtimothy|61.66|keith35
AUC00035|Apple iPhone 13 Pro (Like New)|Electronics|2025-08-02T00:00:00Z|2025-08-03T00:00:00Z|ntaylor|118.33|scortez
AUC00036|Uno Card Game (2022 Model)|Toys & Games|2025-04-18T00:00:00Z|2025-04-19T00:00:00Z|ricky79|116.89|kevin50
AUC00037|The Lean Startup (Rare)|Books|2025-02-10T00:00:00Z|2025-02-11T00:00:00Z|oking|136.26|jason29
AUC00038|The Great Gatsby (Like New)|Books|2025-02-27T00:00:00Z|2025-03-02T00:00:00Z|wwelch|29.94|brocktimothy
AUC00039|Samsung Galaxy S22|Electronics|2025-04-09T00:00:00Z|2025-04-10T00:00:00Z|vargasrebecca|114.18|crossjenna
AUC00040|Apple Watch Series 8 (2022 Model)|Electronics|2025-02-11T00:00:00Z|2025-02-12T00:00:00Z|jhudson|130.08|theresa29
AUC00041|Sony WH-1000XM4 (2022 Model)|Electronics|2025-07-11T00:00:00Z|2025-07-14T00:00:00Z|xking|75.54|jose27
AUC00042|Hot Wheels Mega Garage|Toys & Games|2025-08-03T00:00:00Z|2025-08-04T00:00:00Z|woodsmonique|180.29|donnawhite
AUC00043|Apple Watch Series 8 (Rare)|Electronics|2025-03-30T00:00:00Z|2025-03-31T00:00:00Z|bowersjamie|62.98|qward
AUC00044|Rare Pokémon Charizard Card|Collectibles|2025-06-17T00:00:00Z|2025-06-18T00:00:00Z|dominiquerogers|116.51|chase07
AUC00045|To Kill a Mockingbird (Used)|Books|2025-07-23T00:00:00Z|2025-07-25T00:00:00Z|imurphy|138.87|tstevenson
AUC00046|Monopoly Classic Edition (2022 Model)|Toys & Games|2025-02-16T00:00:00Z|2025-02-19T00:00:00Z|roberthaas|88.36|kennethgonzalez
AUC00047|Apple Watch Series 8 (Rare)|Electronics|2025-02-22T00:00:00Z|2025-02-24T00:00:00Z|robertlong|77.91|evansmichele
AUC00048|Casio G-Shock Watch (2022 Model)|Fashion|2025-03-22T00:00:00Z|2025-03-25T00:00:00Z|mary48|257.75|kellyhawkins
AUC00049|Nintendo Switch (Used)|Toys & Games|2025-03-27T00:00:00Z|2025-03-30T00:00:00Z|seth88|103.94|nguyenjennifer
AUC00050|Dell XPS 13 Laptop|Electronics|2025-01-11T00:00:00Z|2025-01-12T00:00:00Z|kjohnson|144.53|christopher66
AUC00051|Levi's 501 Jeans|Fashion|2025-07-30T00:00:00Z|2025-08-01T00:00:00Z|xperry|104.94|whitejasmin
AUC00052|Rare Pokémon Charizard Card (Like New)|Collectibles|2025-05-06T00:00:00Z|2025-05-08T00:00:00Z|kevinford|99.67|ucampos
AUC00053|Sapiens: A Brief History of Humankind (Rare)|Books|2025-01-09T00:00:00Z|2025-01-11T00:00:00Z|christophersmith|101.58|gonzalesmatthew
AUC00054|To Kill a Mockingbird|Books|2025-05-11T00:00:00Z|2025-05-13T00:00:00Z|peter89|104.93|alicianorman
AUC00055|Sony WH-1000XM4|Electronics|2025-02-28T00:00:00Z|2025-03-01T00:00:00Z|chambersroger|159.25|farrellpamela
AUC00056|Harry Potter and the Philosopher's Stone (1st Ed.) (Used)|Books|2025-06-20T00:00:00Z|2025-06-23T00:00:00Z|jasonmyers|56.55|haroldmcclure
AUC00057|LEGO Star Wars Millennium Falcon (2022 Model)|Toys & Games|2025-06-12T00:00:00Z|2025-06-15T00:00:00Z|ftapia|21.78|ymorales
AUC00058|Funko Pop Marvel Collection|Collectibles|2025-01-07T00:00:00Z|2025-01-08T00:00:00Z|jerryphillips|49.95|zmcmillan
AUC00059|Nintendo Switch (Rare)|Toys & Games|2025-08-13T00:00:00Z|2025-08-14T00:00:00Z|josephsanders|266.96|wellsdonald
AUC00060|1980s Comic Book Set (Like New)|Collectibles|2025-08-13T00:00:00Z|2025-08-16T00:00:00Z|samueljohnston|82.83|erincross
AUC00061|GoPro Hero 10|Electronics|2025-03-01T00:00:00Z|2025-03-04T00:00:00Z|averylinda|136.43|steven97
AUC00062|Samsung Galaxy S22 (2022 Model)|Electronics|2025-05-18T00:00:00Z|2025-05-19T00:00:00Z|kosborn|82.06|rallen
AUC00063|Dell XPS 13 Laptop (Like New)|Electronics|2025-02-16T00:00:00Z|2025-02-18T00:00:00Z|masseynatasha|127.02|aaron46
AUC00064|1980s Comic Book Set|Collectibles|2025-03-23T00:00:00Z|2025-03-24T00:00:00Z|hortonmatthew|251.72|brittany74
AUC00065|GoPro Hero 10 (2022 Model)|Electronics|2025-03-29T00:00:00Z|2025-03-31T00:00:00Z|roselucas|252.93|johnmcdonald
AUC00066|Harry Potter and the Philosopher's Stone (1st Ed.) (2022 Model)|Books|2025-05-13T00:00:00Z|2025-05-16T00:00:00Z|jeffreycooper|106.51|lroberts
AUC00067|The Lean Startup (Used)|Books|2025-03-31T00:00:00Z|2025-04-02T00:00:00Z|richjames|31.88|llamb
AUC00068|Barbie Dreamhouse|Toys & Games|2025-05-15T00:00:00Z|2025-05-18T00:00:00Z|mweber|137.77|tammyhernandez
AUC00069|Dyson V11 Vacuum Cleaner (Rare)|Home & Garden|2025-07-20T00:00:00Z|2025-07-23T00:00:00Z|garyalexander|154.12|wduncan
AUC00070|GoPro Hero 10 (Used)|Electronics|2025-05-25T00:00:00Z|2025-05-26T00:00:00Z|grahamryan|115.62|melissa22
AUC00071|Zara Wool Coat (Like New)|Fashion|2025-06-17T00:00:00Z|2025-06-19T00:00:00Z|coxanthony|60.17|jeffreyramos
AUC00072|Bosch Cordless Drill (2022 Model)|Home & Garden|2025-06-11T00:00:00Z|2025-06-13T00:00:00Z|nicholsonjillian|37.46|jacksonmary
AUC00073|Sony WH-1000XM4 (2022 Model)|Electronics|2025-08-02T00:00:00Z|2025-08-04T00:00:00Z|davenportsteven|53.54|savila
AUC00074|IKEA LINNMON Desk (Like New)|Home & Garden|2025-06-05T00:00:00Z|2025-06-06T00:00:00Z|aguilardonald|193.36|ahuber
AUC00075|Sony WH-1000XM4 (Rare)|Electronics|2025-04-07T00:00:00Z|2025-04-10T00:00:00Z|hillrachel|160.44|wmurphy
AUC00076|To Kill a Mockingbird|Books|2025-01-09T00:00:00Z|2025-01-11T00:00:00Z|michaelrodriguez|55.11|mitchelljeffrey
AUC00077|To Kill a Mockingbird (Like New)|Books|2025-07-26T00:00:00Z|2025-07-29T00:00:00Z|patricia77|62.27|adrianaweaver
AUC00078|Atomic Habits (Used)|Books|2025-03-09T00:00:00Z|2025-03-10T00:00:00Z|awells|50.12|charleszavala
AUC00079|Nintendo Switch (Like New)|Toys & Games|2025-01-27T00:00:00Z|2025-01-29T00:00:00Z|acollins|270.69|cochranmartin
AUC00080|Dell XPS 13 Laptop (Rare)|Electronics|2025-07-23T00:00:00Z|2025-07-25T00:00:00Z|lthomas|41.49|christopher84
AUC00081|Philips Hue Starter Kit (Rare)|Home & Garden|2025-07-28T00:00:00Z|2025-07-31T00:00:00Z|burnettjohn|72.92|susanhenry
AUC00082|Uno Card Game (2022 Model)|Toys & Games|2025-05-07T00:00:00Z|2025-05-10T00:00:00Z|justin23|317.81|larsonamanda
AUC00083|Harry Potter and the Philosopher's Stone (1st Ed.) (Used)|Books|2025-08-14T00:00:00Z|2025-08-15T00:00:00Z|obauer|37.03|matthew17
AUC00084|Rare Pokémon Charizard Card (Rare)|Collectibles|2025-08-22T00:00:00Z|2025-08-24T00:00:00Z|ramirezmargaret|226.46|mitchellnicole
AUC00085|Atomic Habits (Rare)|Books|2025-07-19T00:00:00Z|2025-07-22T00:00:00Z|annaberg|117.82|deniselowe
AUC00086|Louis Vuitton Neverfull Bag (2022 Model)|Fashion|2025-06-17T00:00:00Z|2025-06-20T00:00:00Z|alexis07|117.5|robert17
AUC00087|Antique Pocket Watch (2022 Model)|Collectibles|2025-02-24T00:00:00Z|2025-02-26T00:00:00Z|josephcrane|147.75|arthurbuck
AUC00088|Funko Pop Marvel Collection (Used)|Collectibles|2025-05-01T00:00:00Z|2025-05-03T00:00:00Z|jean13|189.62|dunnpatrick
AUC00089|GoPro Hero 10|Electronics|2025-06-26T00:00:00Z|2025-06-27T00:00:00Z|edward34|227.27|tiffanyvalencia
AUC00090|Monopoly Classic Edition (Rare)|Toys & Games|2025-08-04T00:00:00Z|2025-08-07T00:00:00Z|johnstonaaron|160.7|davisamanda
AUC00091|Rare Pokémon Charizard Card|Collectibles|2025-08-25T00:00:00Z|2025-08-28T00:00:00Z|lewishannah|76.7|davidsilva
AUC00092|Nintendo Switch (Like New)|Toys & Games|2025-01-26T00:00:00Z|2025-01-28T00:00:00Z|debbie45|55.62|micheallarson
AUC00093|Louis Vuitton Neverfull Bag (Rare)|Fashion|2025-04-12T00:00:00Z|2025-04-13T00:00:00Z|wcollins|129.96|gjohnson
AUC00094|Philips Hue Starter Kit (2022 Model)|Home & Garden|2025-08-28T00:00:00Z|2025-08-29T00:00:00Z|cuevasjoyce|51.92|christinasmith
AUC00095|Antique Pocket Watch (Like New)|Collectibles|2025-02-04T00:00:00Z|2025-02-07T00:00:00Z|cathymata|159.91|christianmolina
AUC00096|Apple iPhone 13 Pro (2022 Model)|Electronics|2025-08-05T00:00:00Z|2025-08-08T00:00:00Z|dunnmichelle|174.46|sandovaltyler
AUC00097|Monopoly Classic Edition (Used)|Toys & Games|2025-05-11T00:00:00Z|2025-05-14T00:00:00Z|nathan44|223.16|tracy91
AUC00098|Samsung Galaxy S22 (Like New)|Electronics|2025-08-07T00:00:00Z|2025-08-08T00:00:00Z|bookernathan|110.21|banksruben
AUC00099|Apple iPhone 13 Pro|Electronics|2025-08-18T00:00:00Z|2025-08-21T00:00:00Z|luis11|142.26|estradayolanda
AUC00100|Weber Spirit II Gas Grill (Used)|Home & Garden|2025-03-19T00:00:00Z|2025-03-20T00:00:00Z|cjones|102.82|brooksmary
AUC00101|Bosch Cordless Drill (Rare)|Home & Garden|2025-07-17T00:00:00Z|2025-07-20T00:00:00Z|yfernandez|84.01|johnscarla
AUC00102|LEGO Star Wars Millennium Falcon (2022 Model)|Toys & Games|2025-07-20T00:00:00Z|2025-07-22T00:00:00Z|lwatts|95.62|amanda32
AUC00103|The Great Gatsby (Rare)|Books|2025-01-21T00:00:00Z|2025-01-24T00:00:00Z|nathanmiller|34.5|xhughes
AUC00104|Nike Air Force 1|Fashion|2025-03-16T00:00:00Z|2025-03-17T00:00:00Z|jorgerodriguez|85.63|murrayhailey
AUC00105|Uno Card Game|Toys & Games|2025-05-11T00:00:00Z|2025-05-12T00:00:00Z|brett54|116|parsonslaura
AUC00106|GoPro Hero 10 (Rare)|Electronics|2025-03-07T00:00:00Z|2025-03-10T00:00:00Z|garyaustin|84.98|johnsonluke
AUC00107|The Lean Startup (Used)|Books|2025-04-25T00:00:00Z|2025-04-26T00:00:00Z|joshualopez|156.49|devinjohnson
AUC00108|Zara Wool Coat (2022 Model)|Fashion|2025-03-16T00:00:00Z|2025-03-17T00:00:00Z|saraspencer|36.89|anthony96
AUC00109|Louis Vuitton Neverfull Bag (Like New)|Fashion|2025-03-31T00:00:00Z|2025-04-03T00:00:00Z|nathan66|62.27|linda57
AUC00110|IKEA LINNMON Desk (Rare)|Home & Garden|2025-01-29T00:00:00Z|2025-02-01T00:00:00Z|adammoreno|93.77|ericarodriguez
AUC00111|Rare Pokémon Charizard Card (Like New)|Collectibles|2025-08-11T00:00:00Z|2025-08-12T00:00:00Z|cshaw|211.49|kirbykimberly
AUC00112|Nike Air Force 1|Fashion|2025-06-01T00:00:00Z|2025-06-02T00:00:00Z|leeanita|99.8|charles48
AUC00113|Samsung Galaxy S22|Electronics|2025-08-08T00:00:00Z|2025-08-10T00:00:00Z|paul53|63.24|leah10
AUC00114|Dyson V11 Vacuum Cleaner (Like New)|Home & Garden|2025-01-22T00:00:00Z|2025-01-23T00:00:00Z|yanganthony|60.17|jesse86
AUC00115|Nespresso Vertuo Coffee Machine|Home & Garden|2025-06-07T00:00:00Z|2025-06-08T00:00:00Z|sheilataylor|142.23|bbrennan
AUC00116|Samsung Galaxy S22 (Like New)|Electronics|2025-07-06T00:00:00Z|2025-07-09T00:00:00Z|stewarttodd|92.08|browningmatthew
AUC00117|Apple Watch Series 8 (Like New)|Electronics|2025-01-05T00:00:00Z|2025-01-07T00:00:00Z|thomasgibson|166.44|matthew74
AUC00118|Hot Wheels Mega Garage (Used)|Toys & Games|2025-07-06T00:00:00Z|2025-07-09T00:00:00Z|hpeterson|270.34|frice
AUC00119|Apple iPhone 13 Pro (Like New)|Electronics|2025-03-25T00:00:00Z|2025-03-27T00:00:00Z|robert09|53.22|gmorgan
AUC00120|Apple Watch Series 8 (2022 Model)|Electronics|2025-03-03T00:00:00Z|2025-03-05T00:00:00Z|krista44|143.78|collinsstephanie
AUC00121|Nike Air Force 1 (2022 Model)|Fashion|2025-07-05T00:00:00Z|2025-07-06T00:00:00Z|destiny02|176|kylestone
AUC00122|Nike Air Force 1 (Rare)|Fashion|2025-03-24T00:00:00Z|2025-03-27T00:00:00Z|lisa36|112.45|xtorres
AUC00123|The Great Gatsby (Used)|Books|2025-08-10T00:00:00Z|2025-08-13T00:00:00Z|briggsjohn|79.47|kevinwilson
AUC00124|Apple Watch Series 8|Electronics|2025-02-07T00:00:00Z|2025-02-09T00:00:00Z|kcarroll|64.83|vfranklin
AUC00125|IKEA LINNMON Desk (Like New)|Home & Garden|2025-04-27T00:00:00Z|2025-04-29T00:00:00Z|nortonricardo|183.59|mwright
AUC00126|Sapiens: A Brief History of Humankind (Used)|Books|2025-01-29T00:00:00Z|2025-01-31T00:00:00Z|christopher47|67.99|qgibson
AUC00127|Sapiens: A Brief History of Humankind (Rare)|Books|2025-08-20T00:00:00Z|2025-08-22T00:00:00Z|jameslambert|131.15|brittany07
AUC00128|Vintage Concert Poster (Like New)|Collectibles|2025-01-19T00:00:00Z|2025-01-20T00:00:00Z|wendyburns|174.96|joann03
AUC00129|Dyson V11 Vacuum Cleaner (Like New)|Home & Garden|2025-07-05T00:00:00Z|2025-07-07T00:00:00Z|ebaker|233.05|pricedouglas
AUC00130|To Kill a Mockingbird (Used)|Books|2025-07-12T00:00:00Z|2025-07-14T00:00:00Z|patricia11|218.96|phansen
AUC00131|The Great Gatsby (Used)|Books|2025-05-01T00:00:00Z|2025-05-03T00:00:00Z|antonioramirez|105.7|amanda24
AUC00132|Dell XPS 13 Laptop|Electronics|2025-06-02T00:00:00Z|2025-06-05T00:00:00Z|haydendominguez|104.38|gregoryhayes
AUC00133|Weber Spirit II Gas Grill (Used)|Home & Garden|2025-04-23T00:00:00Z|2025-04-24T00:00:00Z|ugeorge|176|alexander91
AUC00134|Sony WH-1000XM4 (Rare)|Electronics|2025-06-16T00:00:00Z|2025-06-17T00:00:00Z|jonathanwilliams|130.15|allenbrett
AUC00135|To Kill a Mockingbird (2022 Model)|Books|2025-05-27T00:00:00Z|2025-05-29T00:00:00Z|greenvalerie|87.68|emahoney
AUC00136|LEGO Star Wars Millennium Falcon (2022 Model)|Toys & Games|2025-02-15T00:00:00Z|2025-02-16T00:00:00Z|dtaylor|79.38|caldwelllinda
AUC00137|Bosch Cordless Drill (Like New)|Home & Garden|2025-01-13T00:00:00Z|2025-01-16T00:00:00Z|lauraweaver|73.75|kingcarol
AUC00138|Nespresso Vertuo Coffee Machine|Home & Garden|2025-01-12T00:00:00Z|2025-01-14T00:00:00Z|joneslisa|54.54|ggreen
AUC00139|The Great Gatsby (Rare)|Books|2025-04-14T00:00:00Z|2025-04-16T00:00:00Z|louistucker|161.23|kimberly04
AUC00140|Barbie Dreamhouse (2022 Model)|Toys & Games|2025-01-05T00:00:00Z|2025-01-07T00:00:00Z|george68|36.61|donald91
AUC00141|GoPro Hero 10 (Used)|Electronics|2025-08-26T00:00:00Z|2025-08-29T00:00:00Z|samanthapark|76.11|christopherguzman
AUC00142|Philips Hue Starter Kit (Like New)|Home & Garden|2025-05-01T00:00:00Z|2025-05-02T00:00:00Z|jamessweeney|207.91|sparker
AUC00143|To Kill a Mockingbird (Rare)|Books|2025-05-25T00:00:00Z|2025-05-26T00:00:00Z|brendahodge|278.36|stevendavis
AUC00144|Michael Jordan Rookie Card|Collectibles|2025-03-11T00:00:00Z|2025-03-12T00:00:00Z|johnnyfrancis|108.03|davidhall
AUC00145|Apple Watch Series 8 (2022 Model)|Electronics|2025-01-01T00:00:00Z|2025-01-02T00:00:00Z|keith34|59.33|natalie03
AUC00146|Nintendo Switch (Like New)|Toys & Games|2025-07-06T00:00:00Z|2025-07-09T00:00:00Z|oburke|36.42|bankslisa
AUC00147|Sapiens: A Brief History of Humankind (Like New)|Books|2025-07-05T00:00:00Z|2025-07-08T00:00:00Z|lauren29|264.34|lflowers
AUC00148|GoPro Hero 10 (Like New)|Electronics|2025-08-20T00:00:00Z|2025-08-22T00:00:00Z|urogers|253.96|tamara96
AUC00149|GoPro Hero 10 (Like New)|Electronics|2025-02-21T00:00:00Z|2025-02-24T00:00:00Z|simpsonjames|172.18|floresearl
AUC00150|Apple Watch Series 8 (Used)|Electronics|2025-05-21T00:00:00Z|2025-05-23T00:00:00Z|edward22|70.66|valvarez
AUC00151|IKEA LINNMON Desk (Rare)|Home & Garden|2025-01-02T00:00:00Z|2025-01-03T00:00:00Z|gravesbrett|108.75|stephanie46
AUC00152|GoPro Hero 10 (Like New)|Electronics|2025-06-25T00:00:00Z|2025-06-28T00:00:00Z|clarkpeter|87.2|elizabethmiller
AUC00153|Weber Spirit II Gas Grill (Like New)|Home & Garden|2025-01-17T00:00:00Z|2025-01-19T00:00:00Z|iandavis|60.83|terryjohn
AUC00154|Adidas Ultraboost (Like New)|Fashion|2025-03-11T00:00:00Z|2025-03-12T00:00:00Z|njordan|111.28|justin79
AUC00155|GoPro Hero 10 (Like New)|Electronics|2025-05-09T00:00:00Z|2025-05-10T00:00:00Z|david92|98.95|william97
AUC00156|Louis Vuitton Neverfull Bag (Used)|Fashion|2025-03-30T00:00:00Z|2025-03-31T00:00:00Z|award|213.94|robin35
AUC00157|Atomic Habits (Used)|Books|2025-08-11T00:00:00Z|2025-08-13T00:00:00Z|johnsonmichelle|48.3|jason65
AUC00158|Hot Wheels Mega Garage (Rare)|Toys & Games|2025-02-21T00:00:00Z|2025-02-22T00:00:00Z|loweryscott|40.31|eric68
AUC00159|IKEA LINNMON Desk (Like New)|Home & Garden|2025-08-28T00:00:00Z|2025-08-29T00:00:00Z|harrisonjennifer|63.38|maryhays
AUC00160|Funko Pop Marvel Collection (Used)|Collectibles|2025-08-11T00:00:00Z|2025-08-13T00:00:00Z|rebeccawilliams|117.09|robertharris
AUC00161|Atomic Habits (Like New)|Books|2025-06-25T00:00:00Z|2025-06-28T00:00:00Z|christopherguerra|118.13|william37
AUC00162|Apple Watch Series 8 (Used)|Electronics|2025-08-07T00:00:00Z|2025-08-08T00:00:00Z|qlane|174.66|gatesjason
AUC00163|Apple Watch Series 8 (Like New)|Electronics|2025-06-13T00:00:00Z|2025-06-14T00:00:00Z|michael07|90.95|wilsonmitchell
AUC00164|Hot Wheels Mega Garage (Used)|Toys & Games|2025-07-05T00:00:00Z|2025-07-07T00:00:00Z|dhowe|38.39|colemanzachary
AUC00165|Sony WH-1000XM4 (Used)|Electronics|2025-02-28T00:00:00Z|2025-03-01T00:00:00Z|robert06|70.91|jwilliams
AUC00166|Antique Pocket Watch|Collectibles|2025-03-28T00:00:00Z|2025-03-31T00:00:00Z|floreslisa|78.08|ldiaz
AUC00167|Michael Jordan Rookie Card (Used)|Collectibles|2025-08-08T00:00:00Z|2025-08-09T00:00:00Z|wilkinsonamy|239.26|matthewrangel
AUC00168|Sony WH-1000XM4 (Like New)|Electronics|2025-05-02T00:00:00Z|2025-05-03T00:00:00Z|perryandrea|105.59|joshuasmith
AUC00169|Adidas Ultraboost (Like New)|Fashion|2025-08-20T00:00:00Z|2025-08-21T00:00:00Z|vgray|221.89|weberamber
AUC00170|Vintage Concert Poster (2022 Model)|Collectibles|2025-03-28T00:00:00Z|2025-03-29T00:00:00Z|adamssarah|222.95|osanford
AUC00171|Bosch Cordless Drill (Rare)|Home & Garden|2025-06-04T00:00:00Z|2025-06-06T00:00:00Z|james65|92.58|goodwinkeith
AUC00172|Barbie Dreamhouse (Used)|Toys & Games|2025-07-04T00:00:00Z|2025-07-05T00:00:00Z|john16|78.15|andre88
AUC00173|IKEA LINNMON Desk (Used)|Home & Garden|2025-04-29T00:00:00Z|2025-05-01T00:00:00Z|ashleymontoya|162.33|albertclark
AUC00174|Adidas Ultraboost (Rare)|Fashion|2025-01-30T00:00:00Z|2025-01-31T00:00:00Z|isaiahhall|186.76|perezdawn
AUC00175|Dell XPS 13 Laptop (Used)|Electronics|2025-04-06T00:00:00Z|2025-04-08T00:00:00Z|qharris|173.37|wilsonbradley
AUC00176|The Great Gatsby (2022 Model)|Books|2025-03-08T00:00:00Z|2025-03-09T00:00:00Z|larry85|87.63|matthew89
AUC00177|Weber Spirit II Gas Grill (Rare)|Home & Garden|2025-02-19T00:00:00Z|2025-02-22T00:00:00Z|brenda48|206.87|underwoodmatthew
AUC00178|Antique Pocket Watch (Used)|Collectibles|2025-08-25T00:00:00Z|2025-08-27T00:00:00Z|bgraham|91.44|browncole
AUC00179|Levi's 501 Jeans (2022 Model)|Fashion|2025-02-25T00:00:00Z|2025-02-26T00:00:00Z|fjohnson|83.76|bakerkaren
AUC00180|Adidas Ultraboost|Fashion|2025-08-25T00:00:00Z|2025-08-26T00:00:00Z|kellyjohnson|95.17|sarah04
AUC00181|Dell XPS 13 Laptop (Used)|Electronics|2025-03-19T00:00:00Z|2025-03-22T00:00:00Z|scottjonathan|111.05|bmitchell
AUC00182|GoPro Hero 10 (Rare)|Electronics|2025-07-14T00:00:00Z|2025-07-17T00:00:00Z|smithjennifer|212.31|amber14
AUC00183|Dyson V11 Vacuum Cleaner|Home & Garden|2025-05-02T00:00:00Z|2025-05-05T00:00:00Z|lisa13|88.58|jonathan94
AUC00184|The Great Gatsby|Books|2025-07-23T00:00:00Z|2025-07-26T00:00:00Z|wtran|281.33|pwolfe
AUC00185|Louis Vuitton Neverfull Bag (Like New)|Fashion|2025-07-01T00:00:00Z|2025-07-04T00:00:00Z|bharvey|99.39|zcordova
AUC00186|Dyson V11 Vacuum Cleaner (Used)|Home & Garden|2025-02-17T00:00:00Z|2025-02-18T00:00:00Z|hinesstephanie|80.49|matthewgomez
AUC00187|Zara Wool Coat (Like New)|Fashion|2025-04-24T00:00:00Z|2025-04-25T00:00:00Z|cohenroger|99.95|brettberger
