id,zone,state,gender,age_category,age
64,Central,Louisiana,F,old,76
65,Eastern,New Jersey,F,old,67
66,Pacific,Oregon,M,medium,31
67,Eastern,Delaware,M,medium,35
68,Eastern,Florida,F,young,26
69,Central,Tennessee,M,medium,52
70,Central,Wisconsin,F,medium,42
71,Central,Texas,M,young,23
72,Pacific,California,F,young,29
73,Eastern,New Jersey,M,medium,57
74,Eastern,New Jersey,F,medium,41
75,Pacific,California,M,medium,45
76,Eastern,Pennsylvania,M,young,18
77,Eastern,Indiana,F,medium,56
78,Central,Minnesota,F,medium,48
79,Eastern,Michigan,F,medium,34
80,Mountain,Idaho,M,medium,37
81,Central,Texas,F,old,61
82,Central,Missouri,F,young,19
83,Central,Texas,F,medium,44
84,Eastern,New York,F,young,20
85,Eastern,Pennsylvania,F,medium,50
86,Pacific,Nevada,F,young,25
87,Central,Oklahoma,M,young,18
88,Central,Minnesota,M,medium,59
89,Mountain,Colorado,M,medium,38
90,Central,Illinois,M,medium,41
91,Mountain,Colorado,M,medium,36
92,Eastern,Massachusetts,M,medium,46
93,Mountain,Idaho,F,medium,40
94,Mountain,Colorado,F,medium,46
95,Eastern,New York,M,medium,33
96,Mountain,Colorado,M,medium,47
97,Eastern,Pennsylvania,F,medium,50
98,Eastern,Kentucky,M,medium,31
99,Eastern,North Carolina,M,medium,37
100,Mountain,Arizona,F,young,25
101,Eastern,Pennsylvania,F,medium,47
102,Eastern,Ohio,M,medium,35
103,Mountain,Arizona,F,young,28
104,Central,Alabama,M,old,64
105,Eastern,New Jersey,F,young,17
106,Eastern,Florida,M,medium,51
107,Eastern,Massachusetts,M,medium,36
108,Eastern,Rhode Island,M,medium,42
109,Central,Missouri,M,old,78
110,Mountain,Arizona,M,medium,41
111,Eastern,Georgia,F,medium,32
112,Pacific,Washington,M,medium,48
113,Pacific,California,M,medium,35
114,Pacific,California,M,medium,57
115,Mountain,Utah,M,medium,60
116,Pacific,Washington,F,medium,41
117,Central,Illinois,M,medium,36
118,Central,Texas,M,medium,42
119,Central,Illinois,M,medium,32
120,Eastern,Maine,F,medium,48
121,Eastern,Michigan,F,medium,47
122,Eastern,New York,F,medium,37
123,Eastern,Florida,F,medium,37
124,Eastern,Ohio,M,medium,38
125,Central,Texas,M,old,69
126,Pacific,California,M,medium,55
127,Central,Missouri,F,young,27
128,Central,Texas,M,young,26
129,Mountain,Montana,F,medium,38
130,Central,Kansas,M,old,63
131,Eastern,Ohio,M,young,28
132,Mountain,Arizona,F,young,20
133,Eastern,Florida,M,medium,42
134,Eastern,Indiana,F,medium,33
135,Eastern,Maryland,M,young,27
136,Eastern,Kentucky,M,young,29
137,Mountain,Arizona,M,medium,37
138,Eastern,Ohio,F,young,27
139,Eastern,New York,F,medium,34
140,Eastern,New York,F,medium,52
141,Central,Texas,M,medium,40
142,Eastern,New York,M,medium,44
143,Eastern,Kentucky,M,medium,36
144,Eastern,Pennsylvania,M,medium,56
145,Central,Texas,M,medium,37
146,Eastern,Kentucky,M,young,21
147,Eastern,Ohio,F,young,18
148,Eastern,Ohio,F,medium,41
149,Central,Illinois,M,medium,53
150,Mountain,Arizona,F,young,23
151,Eastern,Florida,M,medium,31
152,Central,Louisiana,F,young,29
153,Eastern,New Hampshire,M,young,29
154,Central,Minnesota,M,young,24
155,Mountain,New Mexico,M,medium,35
156,Eastern,New York,F,medium,41
157,Pacific,California,F,medium,48
158,Eastern,New York,F,medium,40
159,Mountain,Arizona,M,medium,43
160,Central,Oklahoma,F,,30
161,Eastern,Maine,M,young,23
162,Central,Illinois,M,medium,35
163,Central,Wisconsin,M,medium,33
164,Central,Iowa,M,,30
165,Central,Arkansas,M,young,21
166,Central,Minnesota,M,young,29
167,Eastern,New York,F,medium,42
168,Eastern,District of Columbia,M,,30
169,Eastern,New Jersey,F,medium,44
170,Eastern,Georgia,M,young,25
171,Central,Minnesota,F,medium,53
172,Eastern,North Carolina,F,old,62
173,Mountain,Utah,M,medium,48
174,Eastern,Virginia,F,medium,53
175,Pacific,California,M,young,26
176,Eastern,Maine,M,medium,46
177,Central,Minnesota,M,medium,33
178,Eastern,New Jersey,M,medium,32
179,Eastern,New Hampshire,F,medium,39
180,Central,Kansas,F,medium,31
181,Eastern,New Jersey,F,,30
182,Eastern,Pennsylvania,F,young,29
183,Central,Illinois,F,medium,34
184,Eastern,Georgia,M,medium,35
185,Mountain,Montana,M,young,24
186,Central,Kansas,F,medium,41
187,Mountain,Colorado,M,young,20
188,Eastern,Pennsylvania,F,young,18
189,Central,Tennessee,M,medium,50
190,Mountain,Arizona,M,medium,53
191,Pacific,Washington,F,medium,35
192,Eastern,Kentucky,M,medium,34
193,Eastern,Ohio,M,medium,42
194,Eastern,New Jersey,M,old,65
195,Eastern,Massachusetts,F,medium,42
196,Mountain,New Mexico,M,medium,53
197,Eastern,Indiana,M,medium,34
198,Eastern,Virginia,M,medium,43
199,Eastern,New York,F,medium,33
200,Eastern,Virginia,M,medium,36
201,Central,Tennessee,M,medium,33
202,Central,Oklahoma,M,young,19
203,Central,Wisconsin,F,young,17
204,Eastern,Ohio,M,old,61
205,Eastern,Ohio,M,medium,50
206,Central,Louisiana,M,medium,46
207,Eastern,Florida,F,young,26
208,Central,Texas,F,young,29
209,Pacific,California,F,medium,31
210,Central,Minnesota,F,young,24
211,Eastern,Florida,M,young,26
212,Central,Texas,M,medium,41
213,Central,Louisiana,F,young,27
214,Central,Wisconsin,M,medium,33
215,Mountain,Arizona,F,medium,45
216,Central,Oklahoma,F,medium,32
217,Mountain,Arizona,M,medium,48
218,Eastern,Indiana,F,medium,33
219,Central,Nebraska,F,medium,47
220,Mountain,Utah,M,young,26
221,Eastern,New York,M,young,21
222,Eastern,Ohio,M,medium,39
223,Mountain,Arizona,M,medium,56
224,Eastern,Pennsylvania,M,old,84
225,Eastern,Pennsylvania,M,medium,33
226,Central,Alabama,F,young,29
227,Eastern,Georgia,M,medium,36
228,Eastern,Florida,M,medium,49
229,Pacific,California,M,old,70
230,Eastern,Florida,F,young,23
231,Pacific,California,M,young,17
232,Eastern,Florida,F,medium,54
233,Mountain,Colorado,F,young,25
234,Central,Texas,M,young,25
235,Central,Louisiana,F,young,23
236,Eastern,Massachusetts,F,medium,37
237,Mountain,Arizona,F,young,28
238,Mountain,New Mexico,F,young,21
239,Eastern,New York,F,young,21
240,Eastern,North Carolina,M,medium,39
241,Eastern,Ohio,F,young,22
242,Central,Minnesota,M,medium,52
243,Central,Kansas,F,old,64
244,Pacific,Washington,F,medium,46
245,Eastern,New York,M,,30
246,Eastern,North Carolina,F,medium,58
247,Eastern,Georgia,M,medium,33
248,Eastern,New York,F,young,19
249,Eastern,Florida,M,medium,37
250,Eastern,Ohio,M,young,27
251,Central,Texas,F,young,26
252,Eastern,Virginia,M,young,22
253,Eastern,Florida,F,medium,44
254,Mountain,Arizona,F,young,23
255,Central,Missouri,F,old,62
256,Eastern,New York,M,medium,55
257,Eastern,Maryland,M,medium,38
258,Eastern,Ohio,F,medium,35
259,Mountain,Colorado,F,young,23
260,Eastern,Ohio,M,young,29
261,Eastern,Maryland,F,young,27
262,Eastern,Pennsylvania,F,medium,38
263,Eastern,Pennsylvania,M,medium,60
264,Eastern,Pennsylvania,F,medium,39
265,Pacific,California,M,medium,42
266,Central,Illinois,F,young,19
267,Mountain,Colorado,M,young,17
268,Eastern,Georgia,F,medium,34
269,Eastern,New York,F,young,21
270,Central,Alabama,M,medium,35
271,Eastern,New Jersey,F,old,61
272,Central,Kansas,M,medium,55
273,Central,Minnesota,M,medium,41
274,Mountain,Montana,F,medium,43
275,Eastern,New York,F,medium,40
276,Mountain,Arizona,F,medium,40
277,Central,Illinois,M,medium,36
278,Mountain,New Mexico,F,medium,46
279,Eastern,North Carolina,M,medium,50
280,Eastern,Michigan,F,medium,44
281,Mountain,Colorado,F,young,27
282,Eastern,Pennsylvania,M,medium,50
283,Central,Texas,M,medium,46
284,Eastern,Pennsylvania,F,medium,53
285,Eastern,New Jersey,F,young,22
286,Eastern,Michigan,M,medium,54
287,Eastern,Indiana,F,young,26
288,Central,Missouri,M,medium,43
289,Central,Arkansas,M,young,29
290,Eastern,Massachusetts,F,medium,48
291,Eastern,South Carolina,M,young,22
292,Central,Texas,F,old,63
293,Central,North Dakota,M,medium,60
294,Central,Texas,M,old,76
295,Central,Arkansas,F,medium,49
296,Central,Wisconsin,M,young,17
297,Eastern,North Carolina,M,medium,38
298,Eastern,Virginia,M,young,23
299,Central,Texas,M,old,63
300,Central,Wisconsin,F,,30
301,Central,Tennessee,M,old,61
302,Central,Texas,M,medium,39
303,Mountain,Colorado,M,young,17
304,Central,Wisconsin,M,young,19
305,Mountain,Colorado,M,young,21
306,Central,Iowa,F,medium,48
307,Eastern,Massachusetts,M,young,23
308,Eastern,Michigan,F,young,29
309,Eastern,New Hampshire,M,medium,37
310,Eastern,Maine,F,medium,47
311,Central,Alabama,F,medium,43
312,Central,Iowa,M,medium,48
313,Eastern,Virginia,M,medium,46
314,Mountain,Colorado,M,medium,55
315,Eastern,North Carolina,F,medium,37
316,Central,Minnesota,F,old,83
317,Eastern,Massachusetts,F,medium,40
318,Central,Wisconsin,M,medium,58
319,Eastern,Florida,M,old,72
320,Pacific,Nevada,M,,30
321,Eastern,Florida,M,medium,33
322,Eastern,North Carolina,M,medium,52
323,Central,Wisconsin,F,old,63
324,Central,Texas,M,old,63
325,Mountain,Colorado,F,young,18
326,Mountain,Idaho,M,young,25
327,Pacific,California,M,medium,46
328,Central,Texas,M,medium,57
329,Mountain,Idaho,M,medium,60
330,Eastern,West Virginia,F,young,18
331,Eastern,New York,F,medium,41
332,Central,Mississippi,M,medium,31
333,Eastern,New York,F,medium,57
334,Eastern,Massachusetts,F,medium,31
335,Central,Texas,F,young,29
336,Eastern,Florida,F,young,23
337,Central,Mississippi,F,young,20
338,Central,Tennessee,M,medium,59
339,Mountain,Utah,M,medium,42
340,Eastern,New York,F,medium,37
341,Eastern,New Jersey,F,medium,33
342,Eastern,North Carolina,M,medium,35
343,Eastern,New York,F,medium,46
344,Central,Texas,M,medium,38
345,Eastern,Michigan,M,medium,31
346,Pacific,California,M,medium,55
347,Eastern,Delaware,M,young,22
348,Eastern,Ohio,F,medium,33
349,Eastern,Michigan,F,medium,52
350,Mountain,Colorado,M,medium,48
351,Eastern,Florida,M,medium,33
352,Pacific,Washington,M,medium,39
353,Eastern,Florida,M,medium,34
354,Eastern,Massachusetts,M,medium,53
355,Central,Louisiana,F,young,24
356,Eastern,Georgia,M,young,21
357,Eastern,Maryland,M,old,62
358,Eastern,Ohio,F,old,61
359,Eastern,Pennsylvania,F,medium,47
360,Central,Illinois,M,young,25
361,Central,Texas,M,,30
362,Mountain,Colorado,M,medium,52
363,Eastern,North Carolina,M,old,63
364,Central,South Dakota,M,old,61
365,Central,Wisconsin,M,young,20
366,Central,Texas,M,young,20
367,Eastern,New York,F,medium,45
368,Mountain,Arizona,M,,30
369,Mountain,Arizona,M,young,29
370,Eastern,New Hampshire,F,medium,38
371,Pacific,California,M,old,68
372,Eastern,Massachusetts,F,medium,31
373,Central,Illinois,F,medium,49
374,Central,Iowa,F,young,29
375,Eastern,West Virginia,F,medium,56
376,Eastern,North Carolina,M,medium,42
377,Pacific,California,F,medium,37
378,Eastern,New York,M,medium,47
379,Central,Mississippi,F,medium,33
380,Eastern,Maryland,F,medium,32
381,Pacific,California,F,medium,37
382,Pacific,California,F,old,70
383,Mountain,Utah,M,young,18
384,Pacific,California,F,medium,33
385,Central,Kansas,M,medium,44
386,Mountain,Colorado,F,medium,33
387,Eastern,Michigan,F,medium,31
388,Eastern,Massachusetts,F,medium,46
389,Eastern,Rhode Island,M,medium,38
390,Mountain,Utah,M,medium,46
391,Eastern,Georgia,F,medium,42
392,Central,Texas,M,medium,40
393,Central,Texas,F,medium,50
394,Eastern,Pennsylvania,M,medium,41
395,Central,Alabama,F,old,63
396,Central,Alabama,M,medium,47
397,Eastern,New York,F,medium,44
398,Central,Texas,M,medium,59
399,Central,Illinois,M,young,24
400,Central,Tennessee,F,young,19
401,Eastern,Indiana,M,medium,58
402,Central,Illinois,M,medium,44
403,Eastern,North Carolina,M,medium,39
404,Mountain,Wyoming,F,medium,40
405,Eastern,New York,F,young,29
406,Eastern,New Jersey,F,medium,38
407,Mountain,Arizona,F,medium,41
408,Eastern,New York,M,medium,31
409,Eastern,Ohio,F,young,20
410,Central,Texas,M,old,64
411,Eastern,Pennsylvania,M,medium,35
412,Central,Minnesota,M,medium,47
413,Eastern,Indiana,M,medium,36
414,Eastern,New York,F,young,23
415,Eastern,Florida,M,medium,35
416,Central,Texas,M,medium,54
417,Eastern,Florida,F,medium,33
418,Central,Texas,M,medium,51
419,Eastern,Pennsylvania,M,medium,59
420,Mountain,Colorado,M,medium,57
421,Mountain,New Mexico,M,medium,35
422,Central,Wisconsin,M,medium,51
423,Eastern,Indiana,M,medium,31
424,Central,Alabama,F,medium,54
425,Mountain,Colorado,M,medium,58
426,Eastern,New York,M,medium,50
427,Eastern,New York,F,medium,46
428,Pacific,Oregon,M,medium,49
429,Eastern,Pennsylvania,F,old,62
430,Eastern,New York,F,young,24
431,Central,Arkansas,M,young,25
432,Pacific,Washington,M,medium,32
433,Eastern,Virginia,M,medium,41
434,Central,Louisiana,M,young,29
435,Pacific,California,M,medium,56
436,Eastern,North Carolina,M,medium,51
437,Mountain,Arizona,F,medium,40
438,Central,Wisconsin,M,medium,44
439,Eastern,Indiana,M,medium,33
440,Mountain,Idaho,M,young,21
441,Central,Alabama,F,young,18
442,Mountain,Arizona,F,medium,39
443,Eastern,Florida,M,young,28
444,Eastern,Ohio,M,medium,46
445,Central,Wisconsin,M,young,29
446,Eastern,West Virginia,M,medium,37
447,Mountain,Colorado,M,medium,45
448,Eastern,Pennsylvania,M,medium,53
449,Pacific,California,M,young,21
450,Central,Texas,M,old,76
451,Mountain,Arizona,M,medium,39
452,Central,Alabama,F,medium,39
453,Eastern,South Carolina,M,medium,38
454,Eastern,Georgia,M,medium,48
455,Eastern,North Carolina,M,medium,32
456,Central,Iowa,M,medium,39
457,Mountain,Arizona,F,medium,31
458,Eastern,Michigan,F,medium,41
459,Eastern,Indiana,M,medium,55
460,Eastern,Indiana,M,medium,47
461,Central,Texas,M,medium,45
462,Mountain,Wyoming,F,old,71
463,Central,Texas,F,young,22
464,Central,Kansas,M,young,26
465,Eastern,Connecticut,M,young,25
466,Eastern,New York,F,medium,60
467,Eastern,Indiana,F,young,20
468,Mountain,Arizona,F,medium,40
469,Eastern,North Carolina,M,young,24
470,Eastern,Georgia,M,old,62
471,Eastern,North Carolina,F,medium,41
472,Central,Tennessee,M,old,80
473,Eastern,Maryland,M,medium,36
474,Mountain,Arizona,M,young,21
475,Mountain,New Mexico,F,medium,34
476,Mountain,Utah,M,medium,51
477,Central,Kansas,F,medium,34
478,Pacific,California,M,medium,35
479,Eastern,North Carolina,M,young,17
480,Eastern,Florida,M,young,23
481,Mountain,Montana,M,medium,59
482,Pacific,California,M,medium,38
483,Central,Tennessee,F,old,66
484,Mountain,Idaho,F,old,62
485,Eastern,Florida,M,medium,60
486,Pacific,Oregon,M,medium,41
487,Eastern,North Carolina,F,medium,44
488,Eastern,Maryland,F,medium,35
489,Central,Texas,M,,30
490,Central,Oklahoma,M,young,19
491,Eastern,Delaware,F,medium,35
492,Central,Illinois,M,young,29
493,Eastern,Georgia,M,medium,37
494,Mountain,Arizona,F,medium,53
495,Eastern,Pennsylvania,M,medium,42
496,Central,Iowa,F,young,27
497,Eastern,Florida,M,medium,48
498,Central,Wisconsin,M,young,26
499,Pacific,California,M,old,63
500,Eastern,New Jersey,F,medium,35
501,Pacific,California,M,medium,50
502,Eastern,Michigan,F,medium,34
503,Eastern,Michigan,M,young,22
504,Eastern,North Carolina,M,medium,35
505,Pacific,California,M,medium,32
506,Eastern,Florida,F,young,20
507,Eastern,Michigan,M,old,63
508,Eastern,Pennsylvania,M,medium,36
509,Central,Missouri,M,old,75
510,Mountain,New Mexico,F,medium,51
511,Mountain,Utah,F,young,19
512,Central,Texas,F,medium,31
513,Mountain,Arizona,M,young,24
514,Eastern,North Carolina,M,young,19
515,Central,Mississippi,M,medium,54
516,Pacific,Oregon,M,young,28
517,Eastern,Virginia,F,medium,32
518,Eastern,Virginia,M,medium,39
519,Mountain,New Mexico,F,old,63
520,Pacific,California,F,medium,44
521,Central,Missouri,F,medium,31
522,Eastern,Florida,F,young,25
523,Central,Wisconsin,F,medium,31
524,Central,Missouri,F,medium,49
525,Eastern,Pennsylvania,F,medium,56
526,Central,Arkansas,F,medium,44
527,Eastern,Georgia,M,medium,34
528,Eastern,Pennsylvania,M,young,29
529,Eastern,Pennsylvania,F,medium,40
530,Central,Louisiana,F,medium,31
531,Mountain,Arizona,M,medium,43
532,Eastern,Kentucky,M,medium,36
533,Eastern,Ohio,M,medium,56
534,Eastern,Ohio,M,medium,46
535,Central,Texas,M,young,21
536,Mountain,Idaho,M,young,29
537,Eastern,Georgia,F,medium,38
538,Eastern,New York,F,young,28
539,Eastern,North Carolina,M,medium,40
540,Central,Missouri,M,medium,31
541,Eastern,New York,M,medium,44
542,Eastern,New York,M,medium,39
543,Eastern,New York,F,medium,33
544,Eastern,Virginia,F,medium,31
545,Eastern,West Virginia,M,young,18
546,Central,Tennessee,F,medium,43
547,Eastern,Florida,F,young,26
548,Central,Texas,M,young,27
549,Eastern,Georgia,M,young,19
550,Eastern,New York,F,medium,57
551,Mountain,Utah,M,medium,55
552,Eastern,Maryland,M,medium,56
553,Eastern,Rhode Island,M,medium,52
554,Central,Texas,M,medium,60
555,Eastern,Massachusetts,F,medium,37
556,Pacific,Oregon,M,young,17
557,Eastern,New York,F,old,77
558,Eastern,Michigan,M,medium,44
559,Mountain,New Mexico,M,young,27
560,Eastern,Virginia,M,young,23
561,Mountain,New Mexico,M,medium,43
562,Mountain,Idaho,M,medium,42
563,Eastern,New Jersey,M,young,26
564,Mountain,Arizona,M,medium,43
565,Central,Louisiana,F,young,22
566,Eastern,South Carolina,M,medium,41
567,Central,Wisconsin,M,medium,47
568,Central,Missouri,F,young,18
569,Eastern,Florida,M,medium,41
570,Central,Alabama,M,medium,54
571,Eastern,Pennsylvania,F,medium,44
572,Mountain,Utah,M,old,63
573,Central,Missouri,M,medium,45
574,Eastern,North Carolina,M,medium,51
575,Central,Wisconsin,F,young,19
576,Central,Texas,M,medium,42
577,Eastern,Vermont,M,medium,31
578,Eastern,New Jersey,M,medium,35
579,Eastern,West Virginia,M,medium,56
580,Eastern,Michigan,M,young,25
581,Mountain,Arizona,M,medium,35
582,Eastern,Massachusetts,F,young,29
583,Central,Texas,M,medium,45
584,Eastern,Ohio,M,medium,58
585,Central,Illinois,F,medium,33
586,Eastern,North Carolina,M,young,23
587,Central,Minnesota,M,medium,42
588,Eastern,New Jersey,M,medium,52
589,Mountain,Idaho,M,medium,40
590,Eastern,North Carolina,M,old,63
591,Eastern,Indiana,M,medium,43
592,Central,Louisiana,F,young,20
593,Central,Iowa,M,young,29
594,Eastern,Georgia,M,medium,36
595,Eastern,North Carolina,M,medium,44
596,Eastern,Indiana,M,young,24
597,Eastern,Michigan,M,medium,39
598,Central,Arkansas,F,medium,34
599,Eastern,Massachusetts,M,old,62
600,Eastern,Florida,F,medium,55
601,Central,Louisiana,F,young,24
602,Central,Wisconsin,F,young,20
603,Pacific,Washington,F,medium,60
604,Eastern,Pennsylvania,M,medium,56
605,Central,Oklahoma,M,medium,40
606,Mountain,Idaho,M,medium,60
607,Eastern,West Virginia,F,medium,55
608,Mountain,Arizona,M,young,19
609,Eastern,Florida,F,medium,36
610,Eastern,North Carolina,M,medium,42
611,Central,Texas,M,medium,38
612,Eastern,Kentucky,F,medium,42
613,Eastern,Maryland,F,medium,48
614,Mountain,Montana,M,old,62
615,Eastern,North Carolina,F,medium,40
616,Eastern,Pennsylvania,F,old,75
617,Eastern,Florida,M,medium,39
618,Eastern,Pennsylvania,M,medium,55
619,Central,Iowa,F,young,18
620,Mountain,Utah,M,medium,54
621,Central,Mississippi,M,medium,39
622,Mountain,Utah,F,old,61
623,Eastern,New Jersey,M,medium,44
624,Eastern,Michigan,F,young,24
625,Pacific,California,M,medium,43
626,Central,Texas,F,medium,46
627,Central,Oklahoma,F,medium,46
628,Central,Texas,F,medium,49
629,Central,North Dakota,F,young,26
630,Eastern,Ohio,F,young,28
631,Eastern,New York,M,medium,32
632,Central,Minnesota,M,medium,43
633,Central,Mississippi,M,medium,56
634,Eastern,Florida,M,medium,33
635,Eastern,Massachusetts,F,medium,34
636,Eastern,Florida,M,young,27
637,Eastern,Massachusetts,M,medium,38
638,Eastern,Florida,F,medium,40
639,Mountain,Colorado,F,old,67
640,Mountain,Arizona,M,medium,44
641,Mountain,Colorado,M,young,21
642,Eastern,Florida,M,medium,43
643,Eastern,Rhode Island,F,medium,43
644,Eastern,North Carolina,M,old,66
645,Eastern,Michigan,F,medium,31
646,Eastern,Massachusetts,M,medium,35
647,Central,Louisiana,M,medium,40
648,Eastern,South Carolina,M,medium,32
649,Eastern,West Virginia,M,medium,41
650,Eastern,Michigan,M,medium,49
651,Mountain,Arizona,M,medium,35
652,Central,Alabama,M,young,18
653,Eastern,Michigan,M,medium,38
654,Mountain,Arizona,M,medium,60
655,Eastern,Florida,F,old,83
656,Eastern,Ohio,M,,30
657,Eastern,Indiana,M,,30
658,Eastern,Georgia,M,young,25
659,Central,Minnesota,F,medium,43
660,Eastern,Florida,M,medium,38
661,Eastern,Indiana,M,medium,32
662,Eastern,Indiana,M,medium,49
663,Central,Texas,M,medium,33
664,Eastern,New York,M,young,27
665,Eastern,Pennsylvania,M,medium,35
666,Central,Texas,M,medium,43
667,Eastern,Florida,M,medium,33
668,Mountain,Colorado,M,medium,39
669,Mountain,Wyoming,M,medium,43
670,Eastern,Rhode Island,M,young,21
671,Mountain,Colorado,F,medium,33
672,Central,Nebraska,M,medium,35
673,Eastern,Indiana,F,young,18
674,Central,Oklahoma,M,medium,36
675,Eastern,Connecticut,F,medium,46
676,Eastern,Georgia,F,medium,38
677,Eastern,Ohio,M,medium,58
678,Mountain,Colorado,F,medium,54
679,Mountain,Colorado,F,medium,59
680,Eastern,Florida,F,medium,52
681,Eastern,Florida,M,young,26
682,Central,Illinois,F,medium,47
683,Mountain,Arizona,M,medium,37
684,Pacific,Washington,M,medium,56
685,Eastern,Michigan,M,young,21
686,Central,Alabama,M,medium,41
687,Mountain,Arizona,M,medium,51
688,Pacific,California,F,,30
689,Central,Illinois,M,young,27
690,Eastern,Connecticut,M,medium,37
691,Central,Wisconsin,M,medium,35
692,Eastern,New York,F,medium,33
693,Central,Illinois,M,medium,58
694,Eastern,Maryland,F,old,61
695,Eastern,Michigan,F,medium,43
696,Eastern,Michigan,M,medium,49
697,Central,Texas,M,medium,31
698,Eastern,Ohio,M,medium,32
699,Mountain,Arizona,M,old,69
700,Mountain,Colorado,F,medium,55
701,Central,Oklahoma,M,medium,50
702,Eastern,Michigan,M,medium,32
703,Mountain,Colorado,M,young,28
704,Eastern,New York,M,medium,37
705,Pacific,Washington,M,young,17
706,Pacific,Oregon,M,medium,53
707,Central,Illinois,F,medium,44
708,Central,Minnesota,M,medium,40
709,Eastern,Massachusetts,F,young,21
710,Eastern,Maryland,F,medium,46
711,Eastern,Ohio,M,medium,42
712,Central,Missouri,F,young,26
713,Eastern,Pennsylvania,M,medium,34
714,Eastern,North Carolina,M,medium,34
715,Eastern,Massachusetts,F,young,26
716,Eastern,Virginia,F,medium,53
717,Central,Texas,M,medium,48
718,Eastern,New Jersey,F,young,17
719,Mountain,Arizona,M,medium,31
720,Mountain,Arizona,F,young,29
721,Central,Texas,F,old,62
722,Central,Texas,M,old,62
723,Eastern,Florida,M,,30
724,Mountain,Colorado,M,medium,32
725,Eastern,Pennsylvania,M,young,18
726,Eastern,Ohio,M,medium,50
727,Central,Nebraska,F,young,25
728,Eastern,Michigan,M,medium,59
729,Eastern,Ohio,F,young,24
730,Eastern,New Hampshire,F,medium,42
731,Eastern,Maryland,M,medium,57
732,Eastern,Georgia,M,medium,51
733,Eastern,North Carolina,M,medium,41
734,Central,South Dakota,F,young,25
735,Central,Texas,M,young,22
736,Eastern,North Carolina,F,medium,42
737,Eastern,New York,F,young,21
738,Central,Texas,F,medium,51
739,Central,Illinois,M,medium,57
740,Pacific,California,F,medium,47
741,Central,Iowa,M,medium,32
742,Central,Oklahoma,F,medium,46
743,Eastern,Kentucky,M,medium,42
744,Central,Texas,M,young,20
745,Eastern,Pennsylvania,M,medium,38
746,Central,Texas,M,medium,35
747,Eastern,Georgia,F,medium,33
748,Mountain,Colorado,F,medium,35
749,Mountain,Utah,F,medium,50
750,Pacific,California,F,medium,58
751,Eastern,New York,M,medium,46
752,Eastern,Pennsylvania,F,medium,48
753,Pacific,California,M,medium,55
754,Central,Tennessee,M,medium,47
755,Eastern,Indiana,M,medium,31
756,Pacific,California,M,medium,55
757,Pacific,California,M,young,20
758,Central,Wisconsin,F,medium,45
759,Central,Mississippi,F,young,21
760,Central,Missouri,M,old,68
761,Eastern,Michigan,F,medium,59
762,Eastern,Massachusetts,M,medium,32
763,Eastern,North Carolina,M,medium,33
764,Central,Oklahoma,M,young,29
765,Pacific,Oregon,F,young,29
766,Central,Tennessee,M,young,18
767,Central,Arkansas,F,young,29
768,Central,Louisiana,M,young,20
769,Eastern,South Carolina,M,medium,34
770,Central,Oklahoma,F,medium,32
