gvkey,conm,datadate,fyear,price,eps,pe
026768,SSR MINING INC,31/12/1999,1999,,-0.07,
064837,CVI ENERGY CORP LTD,31/12/1999,1999,,-0.02,
100165,SANTOS LTD,31/12/1999,1999,,1.41,
208467,PETSEC ENERGY LTD,31/12/1999,1999,,-1.17,
211531,ATLAS PEARLS LTD,31/12/1999,1999,,0.27,
244818,METAL STORM LTD,31/12/1999,1999,,-0.2,
065790,BARBEQUES GALORE LTD  -ADR,31/1/2000,1999,,0.87,
241899,COLORADO GROUP LTD,31/1/2000,1999,,0.313,
242353,SIGMA CO LTD,31/1/2000,1999,,0.11191,
242636,HILLGROVE RESOURCES LTD,31/1/2000,1999,,-0.018,
254380,SIGMA HEALTHCARE LTD,31/1/2000,1999,,0.11164,
201726,QUEENSLAND COTTON HOLDINGS,29/2/2000,1999,,0.5375,
245323,NAMOI COTTON LTD,29/2/2000,1999,,0.09951,
017544,CSR LTD,31/3/2000,1999,,0.455,
100471,EMAIL LTD,31/3/2000,1999,,0.189,
100477,JAMES HARDIE INDUSTRIES PLC,31/3/2000,1999,,0.389,
101256,FISHER & PAYKEL HEALTHCARE,31/3/2000,1999,,0.46,
201015,ALS LTD,31/3/2000,1999,,0.3969,
207304,REBEL SPORT LTD,31/3/2000,1999,,0.077,
208606,PROPERTY CONNECT HOLDINGS,31/3/2000,1999,,,
209828,INFRATIL LTD,31/3/2000,1999,,0.1806,
212381,AV JENNINGS LTD,31/3/2000,1999,,0.0991,
213241,SOUTHERN STAR GROUP LTD,31/3/2000,1999,,-0.258,
225095,CABLE & WIRE OPTUS LTD,31/3/2000,1999,,0.07,
242338,PROGRAMMED MAINTENANCE SVC,31/3/2000,1999,,0.20651,
247432,LONGREACH GROUP LTD,31/3/2000,1999,,-0.0365,
248770,MEDTECH GLOBAL LTD,31/3/2000,1999,,-0.008,
248801,NEO RESOURCES LTD,31/3/2000,1999,,-0.26185,
253455,JCURVE SOLUTIONS LTD,31/3/2000,1999,,,
253582,RIB LOC GROUP LTD,31/3/2000,1999,,0.0655,
223097,METCASH LTD,30/4/2000,1999,,,
229876,AUSTRALIAN PHARM INDS LTD,30/4/2000,1999,,0.181,
256401,RAFFLES CAPITAL LTD,30/4/2000,1999,,-0.0081,
013312,BHP GROUP LTD,31/5/2000,1999,,,
200314,ALESCO CORPORATION LTD,31/5/2000,1999,,0.2703,
236262,RIDDOCK INTERNATIONAL LTD,31/5/2000,1999,,-0.07913,
253519,POLARX LTD,31/5/2000,1999,,,
005302,LABYRINTH RESOURCES LIMITED,30/6/2000,2000,,-0.108,
013312,BHP GROUP LTD,30/6/2000,2000,,0.92,
014242,ANSELL LTD,30/6/2000,2000,,-0.084,
017525,ORIGIN ENERGY LTD,30/6/2000,2000,,,
017629,BURNS PHILP & CO LTD,30/6/2000,2000,,0.154,
018934,SYMBION HEALTH LTD,30/6/2000,2000,,-0.507,
019126,NORTH LTD,30/6/2000,2000,,,
019251,PETROZ NL,30/6/2000,2000,,0.00863,
019312,LEYSHON RESOURCES LTD,30/6/2000,2000,,,
019358,HOWARD SMITH LTD,30/6/2000,2000,,0.627,
019445,PEARL HEALTHCARE LTD,30/6/2000,2000,,-0.0663,
019731,ORBITAL CORP LTD,30/6/2000,2000,,-0.031,
020421,FOSTER'S GROUP LTD,30/6/2000,2000,,0.248,
023681,SENEX ENERGY LTD,30/6/2000,2000,,-0.00891,
023999,SAMSON OIL & GAS LTD,30/6/2000,2000,,-0.00937,
024286,AXXIS TECHNOLOGY GROUP LTD,30/6/2000,2000,,,
024433,ASTUTE METALS NL,30/6/2000,2000,,-0.0875,
024635,CHEMGENEX PHARMACEUTICALS,30/6/2000,2000,,-0.0505,
031887,RESMED INC,30/6/2000,2000,,0.74,
062403,FLETCHER BUILDING LTD,30/6/2000,2000,,0.145,
064252,MOSAIC OIL NL,30/6/2000,2000,,,
100243,AMCOR PLC,30/6/2000,2000,,,
100251,AGL ENERGY,30/6/2000,2000,,1.338,
100461,BRAMBLES LTD,30/6/2000,2000,,1.62,
100800,MCPHERSONS LTD,30/6/2000,2000,,0.271,
100823,ENERGY RESOURCES OF AUSTRALI,30/6/2000,2000,,0.18,
100838,MIM HOLDINGS LTD,30/6/2000,2000,,0.0977,
100852,OPSM GROUP LTD,30/6/2000,2000,,0.1272,
100859,SOUTHCORP LTD,30/6/2000,2000,,0.329,
100894,WOOLWORTHS GROUP LTD,30/6/2000,2000,,0.2627,
100993,GOODMAN FIELDER LTD - OLD,30/6/2000,2000,,0.065,
101245,SONS OF GWALIA LTD,30/6/2000,2000,,0.52,
101392,BEACH ENERGY LTD,30/6/2000,2000,,0.0052,
101495,AUSTRALIAN OIL & GAS CORP,30/6/2000,2000,,-0.08,
101507,EVANS DEAKIN INDUSTRIES LTD,30/6/2000,2000,,-0.274,
101513,ST BARBARA LTD,30/6/2000,2000,,0.0173,
101540,CRANE GROUP LTD,30/6/2000,2000,,0.834,
101544,FH FAULDING & CO LTD,30/6/2000,2000,,0.488,
101568,AMOTIV LIMITED,30/6/2000,2000,,0.164,
101596,NATIONAL CAN INDUSTRIES LTD,30/6/2000,2000,,0.123,
101597,MACMAHON HOLDINGS LTD,30/6/2000,2000,,-0.292,
101598,NORMANDY NFM LTD,30/6/2000,2000,,0.496,
101601,WESFARMERS LTD,30/6/2000,2000,,0.776,
101603,CIMIC GROUP LTD,30/6/2000,2000,,0.511,
101605,REECE LTD,30/6/2000,2000,,1.95,
101661,WATTYL LTD,30/6/2000,2000,,0.236,
101702,KRESTA HOLDINGS LTD,30/6/2000,2000,,0.01,
101707,TELECASTERS AUSTRALIA LTD,30/6/2000,2000,,0.4806,
101742,GWA GROUP LTD,30/6/2000,2000,,0.151,
102114,EMPIRE ENERGY GROUP LTD,30/6/2000,2000,,-0.0187,
102202,DEEP YELLOW LTD,30/6/2000,2000,,-0.055,
102234,AIR NEW ZEALAND LTD,30/6/2000,2000,,,
102398,QCT RESOURCES LTD,30/6/2000,2000,,-0.0462,
103084,NEWCREST MINING LTD,30/6/2000,2000,,0.014,
103127,DOMINION MINING LTD,30/6/2000,2000,,-0.059,
103332,PASMINCO LTD,30/6/2000,2000,,0.021,
104398,NORMANDY MINING LTD,30/6/2000,2000,,-0.162,
104725,EMPEROR MINES LTD,30/6/2000,2000,,-0.324,
104831,SPARK NEW ZEALAND LTD,30/6/2000,2000,,,
104944,CONSOLIDATED MEDIA HLDGS LTD,30/6/2000,2000,,0.4918,
104958,FAIRFAX MEDIA LTD,30/6/2000,2000,,0.2549,
104960,OVATO LTD,30/6/2000,2000,,-0.014,
105117,SEVEN WEST MEDIA LTD,30/6/2000,2000,,0.4383,
108173,CGA MINING LTD,30/6/2000,2000,,-0.01329,
117116,KAZIA THERAPEUTICS LIMITED,30/6/2000,2000,,,
142795,VIROTEC INTERNATIONAL PLC,30/6/2000,2000,,-0.03019,
200091,SPHERE MINERALS LTD,30/6/2000,2000,,-0.1516,
200137,BCD RESOURCES (OPERATIONS),30/6/2000,2000,,-0.225,
200157,EVT LIMITED,30/6/2000,2000,,,
200206,CONTINENTAL COAL LTD,30/6/2000,2000,,-0.092,
200240,ARTHUR YATES & CO LTD,30/6/2000,2000,,-0.096,
200330,AUSDOC GROUP LTD,30/6/2000,2000,,-0.015,
200440,MAGELLAN PETROLEUM AUSTRALIA,30/6/2000,2000,,0.212,
200677,BCD RESOURCES NL,30/6/2000,2000,,-0.3757,
200694,UNITY MINING LTD,30/6/2000,2000,,-0.027,
200729,BEYOND INTERNATIONAL GRP LTD,30/6/2000,2000,,-0.0595,
200779,BLACKMORES LTD,30/6/2000,2000,,0.362,
200782,HORIZON OIL LTD,30/6/2000,2000,,-0.023,
200874,BURSWOOD LTD,30/6/2000,2000,,0.08,
200876,CLEMENTS MARSHALL CONSOL LTD,30/6/2000,2000,,-0.054,
200954,ADELPHI ENERGY LTD,30/6/2000,2000,,-0.01412,
200956,CPI GROUP LTD,30/6/2000,2000,,0.231,
200972,ORCODA LTD,30/6/2000,2000,,-0.007,
200998,COUNTRY ROAD LTD,30/6/2000,2000,,0.0485,
201317,COVENTRY GROUP LTD,30/6/2000,2000,,0.119,
201349,TZ LTD,30/6/2000,2000,,-0.1589,
201350,CUE ENERGY RESOURCES LTD,30/6/2000,2000,,-0.0403,
201559,DANKS HOLDINGS LTD,30/6/2000,2000,,0.908,
201597,DELTA GOLD NL,30/6/2000,2000,,-0.1471,
201616,LACHLAN STAR LTD,30/6/2000,2000,,,
201669,BOTANIX PHARMACEUTICALS LTD,30/6/2000,2000,,-0.0157,
201683,NYLEX LTD,30/6/2000,2000,,0.285,
201687,AVATAR INDUSTRIES LTD,30/6/2000,2000,,-0.137,
201739,EBOS GROUP LTD,30/6/2000,2000,,,
201778,INDAGO RESOURCES LTD,30/6/2000,2000,,-0.119,
202019,ENERGY DEVELOPMENTS LTD,30/6/2000,2000,,0.166,
202023,ENERGY WORLD CORP LTD,30/6/2000,2000,,-0.0403,
202057,VIDELLI LTD,30/6/2000,2000,,0.167,
202186,FINEMORE HOLDINGS LTD,30/6/2000,2000,,0.1865,
202362,ELDERS LTD,30/6/2000,2000,,0.129,
202506,GAZAL CORP LTD,30/6/2000,2000,,0.186,
202567,GIRALIA RESOURCES NL,30/6/2000,2000,,-0.005,
202649,GROUP 6 METALS LTD,30/6/2000,2000,,0.01263,
202655,GREEN'S FOODS LTD,30/6/2000,2000,,0.03,
202741,HAOMA MINING NL,30/6/2000,2000,,0.015,
202787,JOE WHITE MALTINGS LTD,30/6/2000,2000,,-0.482,
202809,JUPITERS LTD,30/6/2000,2000,,0.279,
202929,KINGSGATE CONSOLIDATED LTD,30/6/2000,2000,,-0.017,
203007,HARVEY NORMAN HLDGS LTD,30/6/2000,2000,,0.1083,
203037,TOURISM HOLDINGS LTD,30/6/2000,2000,,0.194,
203046,HENRY WALKER ELTIN GROUP LTD,30/6/2000,2000,,0.1571,
203049,HERALD RESOURCES,30/6/2000,2000,,-0.07885,
203071,HILLS LTD,30/6/2000,2000,,,
203209,DGL GROUP LIMITED,30/6/2000,2000,,,
203336,HORIZON MINERALS LTD,30/6/2000,2000,,0.002,
203394,IXLA LTD,30/6/2000,2000,,-0.195,
203485,KORVEST LTD,30/6/2000,2000,,0.177,
203495,AURIONGOLD LTD,30/6/2000,2000,,0.16,
203545,LAKES BLUE ENERGY NL,30/6/2000,2000,,-0.0027,
203708,GOLD ONE INTL LTD,30/6/2000,2000,,-0.005,
203730,SUMMIT RESOURCES LTD (NZL),30/6/2000,2000,,-0.011,
203742,SUNRAYSIA TELEVISION LTD,30/6/2000,2000,,0.8838,
203887,TASSAL LTD,30/6/2000,2000,,0.068,
204025,NATIONAL FOODS LTD,30/6/2000,2000,,0.175,
204081,KINGSTON RESOURCES LTD,30/6/2000,2000,,-0.00764,
205079,VIRALYTICS LTD,30/6/2000,2000,,-0.0268,
205148,MICHAEL HILL INTL LTD,30/6/2000,2000,,,
205248,MOLOPO ENERGY LTD,30/6/2000,2000,,-0.01,
205282,MOUNT BURGESS MINING NL,30/6/2000,2000,,-0.0051,
205371,OLDFIELDS HOLDINGS LTD,30/6/2000,2000,,0.152,
206144,LEMARNE CORP LTD,30/6/2000,2000,,0.356,
206145,REEF CASINO TRUST,30/6/2000,2000,,0.0501,
206146,ORPHEUS URANIUM LTD,30/6/2000,2000,,0.0024,
206156,SKILLED GROUP LTD,30/6/2000,2000,,0.171,
206196,DEMETALLICA LIMITED,30/6/2000,2000,,,
206198,COPPERCO LTD,30/6/2000,2000,,-0.06768,
206199,CONSOLIDATED MINERALS LTD,30/6/2000,2000,,0.0256,
207014,NOVA MINERALS LTD,30/6/2000,2000,,-0.0398,
207018,MAGONTEC LTD,30/6/2000,2000,,-0.0582,
207051,RANGER MINERALS NL,30/6/2000,2000,,0.475,
207085,ADSLOT LTD,30/6/2000,2000,,0.0055,
207097,SONIC HEALTHCARE LTD,30/6/2000,2000,,0.127,
207103,RIDLEY CORP LTD,30/6/2000,2000,,0.061,
207175,RURAL PRESS LTD,30/6/2000,2000,,0.313,
207221,RESOLUTE MINING LTD,30/6/2000,2000,,-0.9532,
207300,FLIGHT CENTRE TRAVEL GROUP,30/6/2000,2000,,0.494,
207302,PACIFIC HYDRO LTD,30/6/2000,2000,,0.0941,
207303,PETALUMA LTD,30/6/2000,2000,,0.272,
208001,ASARA RESOURCES LIMITED,30/6/2000,2000,,-0.0163,
208014,KAIRIKI ENERGY LTD,30/6/2000,2000,,,
208079,SIMS LTD,30/6/2000,2000,,0.304,
208212,SPICERS PAPER LTD,30/6/2000,2000,,0.189,
208215,SPOTLESS GROUP LTD,30/6/2000,2000,,,
208239,K&S CORP LTD,30/6/2000,2000,,0.386,
208265,AUSPINE LTD,30/6/2000,2000,,0.396,
208326,SGH LIMITED,30/6/2000,2000,,0.33,
208584,PRT COMPANY LIMITED,30/6/2000,2000,,0.007,
209128,TOLL HOLDINGS LTD,30/6/2000,2000,,0.6767,
209221,SENETAS CORP,30/6/2000,2000,,-0.007,
209422,VILLA WORLD LTD (OLD),30/6/2000,2000,,0.115,
209423,VILLAGE ROADSHOW LTD,30/6/2000,2000,,0.2195,
209428,VISION SYSTEMS LTD,30/6/2000,2000,,0.739,
209501,WESFI LTD,30/6/2000,2000,,0.1093,
209518,JUMBO INTERACTIVE LTD,30/6/2000,2000,,-0.107,
209626,KAIROS MINERALS LTD,30/6/2000,2000,,-0.0125,
209907,ZENITAS HEALTHCARE LTD,30/6/2000,2000,,-0.0174,
209933,BRICKWORKS LTD,30/6/2000,2000,,0.326,
210216,TELSTRA GROUP LIMITED,30/6/2000,2000,,0.286,
210247,CLIMAX MINING LTD,30/6/2000,2000,,-0.017,
210263,E3SIXTY LTD,30/6/2000,2000,,,
210268,GREENVALE ENERGY LTD,30/6/2000,2000,,-0.0325,
210285,ASTRA CAPITAL LTD,30/6/2000,2000,,-0.0012,
210599,GREENCAP LTD,30/6/2000,2000,,0.0073,
210603,HAMILTON ISLAND LTD,30/6/2000,2000,,0.5052,
210605,PERILYA LTD,30/6/2000,2000,,0.044,
210805,PERENTI LTD,30/6/2000,2000,,-0.1294,
210869,HEALTHSCOPE LTD,30/6/2000,2000,,,
210880,THAKRAL HLDGS LTD,30/6/2000,2000,,0.064,
210904,ELEVATE URANIUM LTD,30/6/2000,2000,,-0.0082,
210919,VIKING INDUSTRIES,30/6/2000,2000,,0.178,
210949,TITAN RESOURCES,30/6/2000,2000,,0.0147,
210971,SYDNEY ATTRACTIONS LTD,30/6/2000,2000,,0.285,
210979,MERLIN DIAMONDS LTD,30/6/2000,2000,,-0.0043,
211366,GUNNS LTD,30/6/2000,2000,,0.239,
211367,REGIS RESOURCES LTD,30/6/2000,2000,,-0.0159,
211372,OIL COMPANY OF AUSTRALIA LTD,30/6/2000,2000,,0.121,
211375,SOUTHN CROSS BROADCASTING,30/6/2000,2000,,0.65,
211516,ABIGROUP LTD,30/6/2000,2000,,0.303,
211517,RESONANCE HEALTH LTD,30/6/2000,2000,,-0.04738,
211519,ADTRANS GROUP LTD,30/6/2000,2000,,0.28737,
211523,BLUE STAR HELIUM LTD,30/6/2000,2000,,-0.0148,
211524,MINARA RESOURCES LTD,30/6/2000,2000,,-0.0165,
211526,INDUS ENERGY NL,30/6/2000,2000,,-0.9,
211528,ARB CORP,30/6/2000,2000,,0.457,
211532,AUSMELT LTD,30/6/2000,2000,,0.499,
211534,WEBCENTRAL GROUP LTD,30/6/2000,2000,,-0.0328,
211536,PRODIGY GOLD NL,30/6/2000,2000,,-0.0032,
211538,AUTO GROUP LTD,30/6/2000,2000,,-0.1024,
211539,BALLARAT GOLDFIELDS NL,30/6/2000,2000,,-0.2957,
211544,BRANDRILL LTD,30/6/2000,2000,,0.04445,
211545,AUSTRALIAN VINTAGE LTD,30/6/2000,2000,,0.1559,
211551,PACMIN MINING CORP LTD,30/6/2000,2000,,0.248,
211553,CCI HOLDINGS LTD (AUSTRALIA),30/6/2000,2000,,0.0127,
211555,CENTENNIAL COAL,30/6/2000,2000,,0.03707,
211557,CITIGOLD CORP LTD,30/6/2000,2000,,0.00113,
211559,OPTHEA LTD,30/6/2000,2000,,0.0372,
211560,CLELAND (P) ENTERPRISES LTD,30/6/2000,2000,,0.0871,
211562,COFFEY INTL,30/6/2000,2000,,0.2385,
211570,SIRIUS RESOURCES NL,30/6/2000,2000,,0.0018,
211572,SELECT HARVESTS LTD,30/6/2000,2000,,0.1601,
211574,ENVIRONMENTAL CLEAN TECH LTD,30/6/2000,2000,,0.00894,
211576,GLOBAL PETROLEUM LTD,30/6/2000,2000,,,
211585,SCHAFFER CORP,30/6/2000,2000,,0.7699,
211588,NEW TEL LTD,30/6/2000,2000,,-0.146,
212163,GOLDSEARCH LTD,30/6/2000,2000,,-0.0059,
212167,SKYCITY ENTERTAINMENT GROUP,30/6/2000,2000,,0.626,
212415,ALLIANCE RESOURCES LTD,30/6/2000,2000,,-0.0546,
212416,AMMTEC LTD,30/6/2000,2000,,0.04705,
212417,XCEED RESOURCES LTD,30/6/2000,2000,,-0.0683,
212418,ASTRAL RESOURCES NL,30/6/2000,2000,,-0.0059,
212420,DANAE RESOURCES NL,30/6/2000,2000,,0.0095,
212427,FORTESCUE LTD,30/6/2000,2000,,-0.0164,
212428,GRANGE RESOURCES LTD,30/6/2000,2000,,-0.3097,
212430,DESTRA CORP LTD,30/6/2000,2000,,-0.10364,
212431,SCANTECH LTD,30/6/2000,2000,,-0.09209,
212432,CB AUSTRALIA LTD,30/6/2000,2000,,-0.0029,
212434,STUART METALS NL,30/6/2000,2000,,-0.0163,
212605,SHINE METALS LTD,30/6/2000,2000,,0.17335,
212621,DEVINE LTD,30/6/2000,2000,,0.00714,
212625,HILLS MOTORWAY GROUP,30/6/2000,2000,,,
212626,INVITROCUE LTD,30/6/2000,2000,,,
212635,COCHLEAR LTD,30/6/2000,2000,,0.396,
212637,PORT DOUGLAS REEF RESORTS,30/6/2000,2000,,0.0133,
212639,PROGEN PHARMACEUTICALS LTD,30/6/2000,2000,,-0.371,
212642,SOLUTION 6 HOLDINGS LTD,30/6/2000,2000,,-0.66,
212644,SUNDANCE RESOURCES LTD,30/6/2000,2000,,-0.00327,
212646,UTILITY SERVICES CORP LTD,30/6/2000,2000,,0.045,
212647,GLOBAL TELEVISION LTD,30/6/2000,2000,,0.0696,
212648,TEMPO SERVICES LTD,30/6/2000,2000,,0.1686,
212650,TRANSURBAN GROUP,30/6/2000,2000,,-0.22,
212651,UGL LTD,30/6/2000,2000,,0.14,
212653,WESTGOLD RESOURCES LTD,30/6/2000,2000,,,
212657,EQUUS MINING LTD,30/6/2000,2000,,-0.0157,
212658,LYNAS RARE EARTHS LIMITED,30/6/2000,2000,,0.052,
212661,MOBILE COMMUNICATION HLDGS,30/6/2000,2000,,0.0234,
212664,ION LTD,30/6/2000,2000,,0.0488,
212665,PERSERVERANCE CORP,30/6/2000,2000,,-0.0274,
213100,AUSTRALIAN HOSPITAL CARE LTD,30/6/2000,2000,,-0.4876,
213101,COATES HIRE LTD,30/6/2000,2000,,0.165,
213102,GRAND HOTEL GROUP,30/6/2000,2000,,-0.0144,
213448,TAP OIL LTD,30/6/2000,2000,,0.0611,
213498,ZENYTH THERAPEUTICS,30/6/2000,2000,,-0.198,
213500,INTOLL GROUP,30/6/2000,2000,,0.0572,
213514,BOS GLOBAL HOLDINGS NL,30/6/2000,2000,,,
213526,AEROSONDE HOLDINGS,30/6/2000,2000,,-0.0529,
213644,TITANIUM SANDS LTD,30/6/2000,2000,,-0.087,
214048,MINERAL DEPOSITS LTD,30/6/2000,2000,,0.0009,
214049,NORTHERN GOLD NL,30/6/2000,2000,,0.0242,
214054,NEON CAPITAL LTD,30/6/2000,2000,,-0.6009,
214099,IGNITE LTD,30/6/2000,2000,,0.159,
214644,TROY RESOURCES LTD,30/6/2000,2000,,0.18244,
214880,SUB-SAHARA RESOURCES NL,30/6/2000,2000,,-0.01291,
215619,BRISTILE LTD,30/6/2000,2000,,0.196,
216259,AAPT LTD,30/6/2000,2000,,,
216480,TANAMI GOLD NL,30/6/2000,2000,,-0.02461,
217868,GREENX METALS LIMITED,30/6/2000,2000,,0.159,
217874,HAWTHORN RESOURCES LTD,30/6/2000,2000,,-0.0878,
217880,ADAVALE RESOURCES LTD,30/6/2000,2000,,-0.0754,
218981,TAB LTD,30/6/2000,2000,,0.1338,
220235,CENTAUR MINING & EXPLORATION,30/6/2000,2000,,-0.0871,
220239,PAN PACIFIC PETROLEUM NL,30/6/2000,2000,,-0.0204,
220243,PREMIER INVESTMENTS LTD,30/6/2000,2000,,0.0573,
220244,QANTAS AIRWAYS LTD,30/6/2000,2000,,0.428,
220260,EPHRAIM RESOURCES LTD,30/6/2000,2000,,-0.006,
221021,SMS MANAGEMENT & TECHNOLOGY,30/6/2000,2000,,-0.022,
221073,DEEPGREEN MINERALS CORP LTD,30/6/2000,2000,,-0.0028,
221095,CARNEGIE CLEAN ENERGY LTD,30/6/2000,2000,,-0.00624,
221190,SEAFARMS GROUP LTD,30/6/2000,2000,,,
221202,SHERWIN IRON LTD,30/6/2000,2000,,,
221254,HARDMAN RESOURCES LTD,30/6/2000,2000,,,
221464,CTI LOGISTICS LTD,30/6/2000,2000,,-0.1751,
221492,BOLNISI GOLD LTD,30/6/2000,2000,,0.0322,
221613,JOYCE CORP LTD,30/6/2000,2000,,0.079,
221803,RELIANCE MINING LTD,30/6/2000,2000,,-0.0098,
222018,IMAGINE UN LTD,30/6/2000,2000,,0.0097,
222076,MORETON RESOURCES LTD,30/6/2000,2000,,-0.037,
222202,TABCORP HOLDINGS LTD,30/6/2000,2000,,0.501,
222267,NAUTRONIX LTD,30/6/2000,2000,,-0.1593,
222318,GLOBAL STRATEGIC METALS NL,30/6/2000,2000,,-0.0073,
222761,AUCKLAND INTL AIRPORT LTD,30/6/2000,2000,,0.1216,
223003,CSL LTD,30/6/2000,2000,,0.408,
226137,VEDA ADVANTAGE LTD,30/6/2000,2000,,0.04,
226176,ADSTEAM MARINE LTD,30/6/2000,2000,,0.194,
226178,BRAZIN LTD,30/6/2000,2000,,0.242,
226180,ENVESTRA LTD,30/6/2000,2000,,-0.0242,
226186,ZIMPLATS HOLDINGS LTD,30/6/2000,2000,,-0.0165,
226744,RAMSAY HEALTH CARE LTD,30/6/2000,2000,,0.061,
227296,WINE PLANET HLDGS LTD,30/6/2000,2000,,,
227297,CULLEN RESOURCES NL,30/6/2000,2000,,-0.0152,
229017,SMORGON STEEL GROUP LTD,30/6/2000,2000,,0.079,
231039,NEVERFAIL SPRINGWARE LTD,30/6/2000,2000,,0.1134,
231298,ETRADE AUSTRALIA LTD,30/6/2000,2000,,,
231316,SILEX SYSTEMS LTD,30/6/2000,2000,,0.047,
232041,AUSTAL LTD,30/6/2000,2000,,0.19288,
232062,CATALYST RECRUITMENT SYS LTD,30/6/2000,2000,,0.0519,
232102,SUREFIRE RESOURCES NL,30/6/2000,2000,,-0.0291,
232105,GREAT SOUTHERN LTD,30/6/2000,2000,,0.31,
232122,MACQUARIE TECHNOLOGY GROUP,30/6/2000,2000,,0.04745,
232456,UNITAB LTD,30/6/2000,2000,,0.18,
233272,ROMA PETROLEUM NL,30/6/2000,2000,,-0.0269,
234276,PENINSULA ENERGY LTD,30/6/2000,2000,,-0.0688,
234279,LEND LEASE PRIMELIFE LTD,30/6/2000,2000,,0.68994,
234778,UXC LTD,30/6/2000,2000,,0.0458,
234796,ECORP LTD,30/6/2000,2000,,-0.0422,
234817,SIMEON WINES LTD,30/6/2000,2000,,0.207,
234876,BORAL LTD,30/6/2000,2000,,0.398,
234963,TANDOU LTD,30/6/2000,2000,,-0.07,
235498,ADACEL TECHNOLOGIES LTD,30/6/2000,2000,,0.0435,
235641,HEALTH COMMUNICATION NETWORK,30/6/2000,2000,,,
235645,CELSIUS RESOURCES LTD,30/6/2000,2000,,,
235651,TAKORADI LTD,30/6/2000,2000,,-0.0016,
236137,SPICERS LTD,30/6/2000,2000,,0.335,
236836,FIRST LITHIUM LIMITED,30/6/2000,2000,,,
237776,STREAMPLAY STUDIO LTD,30/6/2000,2000,,-0.0325,
237780,IMPRESS ENERGY LTD,30/6/2000,2000,,0.02214,
237799,JABIRU METALS LTD,30/6/2000,2000,,-0.02907,
237805,MPOWER GROUP LTD,30/6/2000,2000,,0.0352,
240944,A.C.N 004 410 833 LTD,30/6/2000,2000,,1.2176,
241363,AUSTRALIAN PLANTATION TIMBER,30/6/2000,2000,,0.3575,
241372,A2B AUSTRALIA LTD,30/6/2000,2000,,0.121,
241380,DOWNER EDI LTD,30/6/2000,2000,,0.069,
241393,INFOMEDIA LTD,30/6/2000,2000,,0.02429,
241398,GRIBBLES GROUP LTD (THE),30/6/2000,2000,,0.00098,
241399,MIA GROUP LTD,30/6/2000,2000,,0.146,
241401,CITY CHIC COLLECTIVE LTD,30/6/2000,2000,,0.173,
241402,PAN PHARMACEUTICALS LTD,30/6/2000,2000,,0.2909,
241403,CLARITY OSS LTD,30/6/2000,2000,,0.0352,
241405,HEALIUS LTD,30/6/2000,2000,,0.0727,
241406,ALTIUM LTD,30/6/2000,2000,,0.128,
241411,SECURENET LTD,30/6/2000,2000,,0.0235,
241412,SERVCORP LTD,30/6/2000,2000,,,
241419,TECHNOLOGY ONE LTD,30/6/2000,2000,,0.0675,
241421,TELEMEDIA NETWORKS INTL LTD,30/6/2000,2000,,-0.00111,
241878,REDFLEX HOLDINGS LTD,30/6/2000,2000,,-0.764,
241900,ARTURUS CAPITAL LTD,30/6/2000,2000,,-0.23637,
241905,STRATHFIELD GROUP LTD,30/6/2000,2000,,0.106,
241956,PEPLIN INC,30/6/2000,2000,,,
242320,BASS STRAIT OIL TRUST,30/6/2000,2000,,0.22702,
